AccountId,ACV_Renewal_Expiry_Date__c,ACV_Renewal_Start_Date__c,Amount,CloseDate,Errors,EXTID__c,Id,Name,Probability,StageName,Type
001Aa00001GgtuMIAR,2026-11-30,2025-12-01,16046.1,2024-12-10,,006Sb00000AtcIE,006Aa00000NdNE5IAN,OPP_1132,100,Closed/Won,Renewal
001Aa00001GgtuMIAR,2027-11-30,2026-12-01,16046.1,2024-12-10,,006Sb00000Ati2f,006Aa00000NdNE6IAN,OPP_1133,100,Closed/Won,Renewal
001Aa00001GgtuNIAR,,,5000,2025-06-27,,006AX0000063Lac,006Aa00000NdNE7IAN,OPP_939,0,Closed/Canceled,New business
001Aa00001GgtuOIAR,,,20000,2024-11-30,,006AX0000066LhC,006Aa00000NdNE8IAN,OPP_950,0,Closed/Canceled,New business
001Aa00001GhHtVIAV,,,10740,2024-06-14,,006AX0000068Aqo,006Aa00000NdNE9IAN,OPP_962,0,Closed/Canceled,New business
001Aa00001GhHtWIAV,,,4160,2024-09-28,,006AX0000068xTb,006Aa00000NdNEAIA3,OPP_978,0,Closed/Lost,New business
001Aa00001GhHtXIAV,,,8732,2024-04-17,,006AX000006C7LM,006Aa00000NdNEBIA3,OPP_1001,0,Closed/Lost,New business
001Aa00001GhHtYIAV,2025-03-28,2024-03-29,6000,2024-03-25,,006AX0000050ejp,006Aa00000NdNECIA3,OPP_784,100,Closed/Won,New business
001Aa00001GhHtYIAV,2026-03-28,2025-03-29,37860.33,2024-03-25,,006AX000005lfn5,006Aa00000NdNEDIA3,OPP_912,100,Closed/Won,Renewal
001Aa00001GhHtYIAV,2027-03-28,2026-03-29,37860.33,2024-03-25,,006AX000005lfo8,006Aa00000NdNEEIA3,OPP_913,100,Closed/Won,Renewal
001Aa00001GhHtYIAV,2028-03-28,2027-03-29,37860.33,2024-03-25,,006AX000005lfoS,006Aa00000NdNEFIA3,OPP_914,100,Closed/Won,Renewal
